"subject","calendar.week","start","stop","arrest","employed","fin","age","race","wexp","mar","paro","prio","educ"
1,1,0,1,0,0,0,27,1,0,0,1,3,3
1,2,1,2,0,0,0,27,1,0,0,1,3,3
1,3,2,3,0,0,0,27,1,0,0,1,3,3
1,4,3,4,0,0,0,27,1,0,0,1,3,3
1,5,4,5,0,0,0,27,1,0,0,1,3,3
1,6,5,6,0,0,0,27,1,0,0,1,3,3
1,7,6,7,0,0,0,27,1,0,0,1,3,3
1,8,7,8,0,0,0,27,1,0,0,1,3,3
1,9,8,9,0,0,0,27,1,0,0,1,3,3
1,10,9,10,0,0,0,27,1,0,0,1,3,3
1,11,10,11,0,0,0,27,1,0,0,1,3,3
1,12,11,12,0,0,0,27,1,0,0,1,3,3
1,13,12,13,0,0,0,27,1,0,0,1,3,3
1,14,13,14,0,0,0,27,1,0,0,1,3,3
1,15,14,15,0,0,0,27,1,0,0,1,3,3
1,16,15,16,0,0,0,27,1,0,0,1,3,3
1,17,16,17,0,0,0,27,1,0,0,1,3,3
1,18,17,18,0,0,0,27,1,0,0,1,3,3
1,19,18,19,0,0,0,27,1,0,0,1,3,3
1,20,19,20,1,0,0,27,1,0,0,1,3,3
2,1,0,1,0,0,0,18,1,0,0,1,8,4
2,2,1,2,0,0,0,18,1,0,0,1,8,4
2,3,2,3,0,0,0,18,1,0,0,1,8,4
2,4,3,4,0,0,0,18,1,0,0,1,8,4
2,5,4,5,0,0,0,18,1,0,0,1,8,4
2,6,5,6,0,0,0,18,1,0,0,1,8,4
2,7,6,7,0,0,0,18,1,0,0,1,8,4
2,8,7,8,0,0,0,18,1,0,0,1,8,4
2,9,8,9,0,0,0,18,1,0,0,1,8,4
2,10,9,10,0,1,0,18,1,0,0,1,8,4
2,11,10,11,0,1,0,18,1,0,0,1,8,4
2,12,11,12,0,1,0,18,1,0,0,1,8,4
2,13,12,13,0,1,0,18,1,0,0,1,8,4
2,14,13,14,0,1,0,18,1,0,0,1,8,4
2,15,14,15,0,0,0,18,1,0,0,1,8,4
2,16,15,16,0,0,0,18,1,0,0,1,8,4
2,17,16,17,1,0,0,18,1,0,0,1,8,4
3,1,0,1,0,0,0,19,0,1,0,1,13,3
3,2,1,2,0,0,0,19,0,1,0,1,13,3
3,3,2,3,0,0,0,19,0,1,0,1,13,3
3,4,3,4,0,0,0,19,0,1,0,1,13,3
3,5,4,5,0,0,0,19,0,1,0,1,13,3
3,6,5,6,0,0,0,19,0,1,0,1,13,3
3,7,6,7,0,0,0,19,0,1,0,1,13,3
3,8,7,8,0,0,0,19,0,1,0,1,13,3
3,9,8,9,0,0,0,19,0,1,0,1,13,3
3,10,9,10,0,0,0,19,0,1,0,1,13,3
3,11,10,11,0,0,0,19,0,1,0,1,13,3
3,12,11,12,0,0,0,19,0,1,0,1,13,3
3,13,12,13,0,0,0,19,0,1,0,1,13,3
3,14,13,14,0,0,0,19,0,1,0,1,13,3
3,15,14,15,0,0,0,19,0,1,0,1,13,3
3,16,15,16,0,0,0,19,0,1,0,1,13,3
