dauer;status;beginn.monat;female;male;alter;bild
11;0;114;0;1;47;1
30;1;83;0;1;38;2
1;1;83;0;1;44;2
36;0;85;0;1;28;2
1;1;111;0;1;38;2
7;0;104;1;0;30;1
7;1;8;1;0;38;2
8;1;109;0;1;28;2
18;0;94;1;0;60;2
9;0;4;0;1;47;1
19;1;24;0;1;35;2
2;1;61;1;0;37;1
36;0;59;1;0;32;2
15;0;110;1;0;34;1
14;1;103;0;1;27;2
36;0;62;0;1;34;2
13;0;93;0;1;44;2
1;1;106;0;1;25;2
23;0;34;0;1;58;1
31;1;84;1;0;50;2
13;0;9;0;1;30;2
6;1;101;0;1;44;1
36;0;98;0;1;57;1
36;0;17;0;1;47;2
10;1;49;0;1;30;2
32;0;13;1;0;57;2
2;0;123;0;1;42;2
3;1;1;0;1;56;2
7;1;112;0;1;51;1
3;1;121;0;1;29;2
23;0;25;0;1;58;1
17;0;77;0;1;46;2
36;0;10;1;0;52;2
2;1;109;1;0;31;2
3;0;71;1;0;47;2
6;1;114;0;1;49;2
15;1;85;1;0;34;2
14;1;83;1;0;44;1
2;1;76;0;1;45;2
3;0;31;1;0;28;2
10;0;87;0;1;53;3
33;0;64;1;0;57;2
2;0;121;1;0;28;2
3;1;43;0;1;42;2
1;0;124;1;0;50;1
6;1;6;0;1;56;3
33;0;92;0;1;57;3
22;0;87;0;1;46;2
16;1;64;0;1;35;2
9;0;112;1;0;27;3
8;1;64;0;1;54;2
1;1;6;0;1;38;2
18;0;26;1;0;59;2
5;0;106;0;1;41;2
36;0;20;0;1;35;2
13;0;48;1;0;47;2
4;0;3;1;0;35;3
1;1;52;1;0;25;2
4;0;117;1;0;33;2
14;0;35;0;1;58;2
7;1;28;0;1;28;3
1;1;56;1;0;33;1
12;1;12;0;1;32;2
1;1;96;0;1;25;1
6;0;103;0;1;44;1
5;1;14;0;1;37;2
2;1;61;0;1;26;2
36;0;64;1;0;42;2
2;0;123;0;1;44;1
13;1;94;0;1;28;2
1;1;92;0;1;27;3
3;1;23;0;1;33;2
4;1;110;1;0;36;2
2;1;16;0;1;28;2
2;0;123;1;0;37;2
9;1;93;1;0;42;1
11;0;114;1;0;60;2
21;1;74;0;1;31;1
6;1;28;1;0;58;2
1;1;87;1;0;39;2
14;1;94;1;0;46;2
36;0;3;1;0;45;2
1;0;57;1;0;29;2
35;0;86;0;1;60;1
